Campaign,Ad group,Keyword,Match type,Max CPC
害獣駆除_関東_検索,ネズミ_症状,天井裏 走る音,Phrase,120
害獣駆除_関東_検索,ネズミ_症状,天井裏 足音,Phrase,120
害獣駆除_関東_検索,ネズミ_症状,天井 ガリガリ 音 夜,Exact,100
害獣駆除_関東_検索,ネズミ_症状,天井裏 物音 正体,Phrase,110
害獣駆除_関東_検索,ネズミ_症状,屋根裏 足音 動物,Phrase,110
害獣駆除_関東_検索,ネズミ_症状,天井裏 ドタドタ 音,Exact,90
害獣駆除_関東_検索,ネズミ_症状,壁 カサカサ 音,Phrase,100
害獣駆除_関東_検索,ネズミ_症状,天井裏 何か いる,Phrase,100
害獣駆除_関東_検索,ネズミ_症状,夜 天井 音 動物,Phrase,100
害獣駆除_関東_検索,ネズミ_症状,家 天井 走り回る 音,Phrase,100
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ 粘着シート 取れない,Phrase,180
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ 忌避剤 効かない,Phrase,180
害獣駆除_関東_検索,ネズミ_DIY失敗,超音波 ネズミ 効果ない,Phrase,160
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ 侵入口 塞ぎ方,Phrase,150
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ 何度も出る,Phrase,170
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ 駆除 自分で 無理,Phrase,170
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ いなくならない,Phrase,160
害獣駆除_関東_検索,ネズミ_DIY失敗,ネズミ 巣 どこ,Phrase,140
害獣駆除_関東_検索,ネズミ_不安リスク,ネズミ 糞 掃除 危険,Phrase,200
害獣駆除_関東_検索,ネズミ_不安リスク,ネズミ 配線 かじられた,Phrase,220
害獣駆除_関東_検索,ネズミ_不安リスク,ネズミ 病気 感染,Phrase,180
害獣駆除_関東_検索,ネズミ_不安リスク,天井裏 ネズミ 放置,Phrase,190
害獣駆除_関東_検索,ネズミ_不安リスク,ネズミ 配線 火事,Phrase,210
害獣駆除_関東_検索,ネズミ_不安リスク,天井裏 糞 動物,Phrase,170
害獣駆除_関東_検索,ネズミ_不安リスク,ネズミ 被害 家,Phrase,160
害獣駆除_関東_検索,ハクビシン,ハクビシン 屋根裏,Phrase,160
害獣駆除_関東_検索,ハクビシン,ハクビシン 追い出し 方法,Phrase,150
害獣駆除_関東_検索,ハクビシン,天井裏 獣 臭い,Phrase,140
害獣駆除_関東_検索,ハクビシン,ハクビシン 糞 屋根裏,Phrase,160
害獣駆除_関東_検索,ハクビシン,ハクビシン 駆除 自分で 無理,Phrase,150
害獣駆除_関東_検索,ハクビシン,屋根裏 大きい 足音 動物,Phrase,130
害獣駆除_関東_検索,アライグマ,アライグマ 屋根裏,Phrase,150
害獣駆除_関東_検索,アライグマ,アライグマ 天井裏 音,Phrase,140
害獣駆除_関東_検索,アライグマ,アライグマ 追い出し,Phrase,140
害獣駆除_関東_検索,アライグマ,アライグマ 被害 家,Phrase,130
害獣駆除_関東_検索,コウモリ_A専用,コウモリ 家 入ってきた,Phrase,140
害獣駆除_関東_検索,コウモリ_A専用,天井裏 バサバサ 音,Phrase,130
害獣駆除_関東_検索,コウモリ_A専用,コウモリ 追い出し 方法,Phrase,140
害獣駆除_関東_検索,コウモリ_A専用,コウモリ 糞 ベランダ,Phrase,130
# 地域: 東京・埼玉・千葉・神奈川（1都3県）。地域設定は「所在地（現在地）」を選択。「興味を示した地域」は含めない。
# デバイス: タブレットは -100%。モバイル/PCはデータが出るまで調整しない。
# 入札: 手動CPC。上記Max CPCは下限。クリックが付かないKWのみ +20〜30円ずつ引き上げる。
# CV: 発生はA8成果連携でGoogleに返す。LPのCTAクリックはマイクロCVとして併用。
# コウモリ/イタチ広告グループはB案件の対象外。当面は一時停止で作成し、A案件単独運用に切替時のみ有効化する。
